,0
186,刚收货就降价，还申请不了价格保护
187,按键不灵，根没有用，客服还系不上
188,刚买的就直卡，感觉不怎么好用
189,买了天就降价，意难平
190,价格降的有点啊
191,灵敏低，用户体验感差级了
192,不个月黑了
193,般吧，感觉没有象中那么好。
194,激活后用了段时间失了需要再次激活
195,差差差
196,不，还没用多久，就出现卡顿了
197,两个月就开不了了，充也没反应。。。
198,摄像头成这样，我也是服了了。
199,有问题系不上人工，急人
200,才买两个星期，不知道怎么就启动不起来了。
201,使用时左侧键盘上方发烫
202,都不说了，号买的号就降价，买就降故意玩弄消费者？
203,有叠字，第次了
204,第天就卡住不动，什么情况？
205,买之前家看看评论就没连上过那个件
206,刚买就降了，我买的时候说什么降价了，最后两天有意思
207,先给美国个差评吧，目前止还没发现问题
208,刚买就白，迷茫，，，
209,买来天，维修天还没修好关键
210,不个月，就开不了了
211,烦躁，触面板老是没反应
212,所谓赠送的安装后直接显示未经授权，不可使用
213,卡顿，而且比较厚，不满意
214,差，直响，声音
215,辣鸡，才刚过七天就降价，算准了吧
216,什么回事？拿回来没用几次每次开先蓝
217,买之后降两次价格，第次降价还不给报价，两次降价不。
218,鸡肋！
219,使用个月不就黑了，不懂。
220,刚刚买两天之后。开就蓝了
221,我拿手周，就卡死了
222,刚买了就降价。
223,我只说
224,卡
225,今天买，明天就降价，还不进价保！
226,刚买不久，现在居然降价过分
227,次品，要退货
228,买就降价。。。
229,经常黑卡的应用点不开
230,掉漆
231,可以的，刚过价保降价两百降价第名
232,突然黑，关以后不开了
233,无法激活，客服也不会
234,刚买的就白
235,价格倒是便宜，现在不满天都已坏了，申请换货中。
236,不做工粗燥
237,买了两天降
238,买了个月，降了块钱，
239,不是很好用
240,刚买没多久，玩卡死两次了。。。。。
241,谁买谁后悔。
242,漏
243,刚买的还没乎呢，开都开不开
244,键位不对，估计是下载的驱没对上号
245,别卡
246,不建议购买此，刚买回来天，黑了，关不了。
247,经常黑，需要强制关！！！
248,出现坏点
249,不如预期好
250,少配件，
251,不好
252,老重启
253,使用不个月，出现故障！！
254,反应慢，而且突然连关都没反应，
255,不错，客服差，店活动差
256,用了天就这？
257,产品真的不多说什么，无语！但是客服哥哥还是挺好的！挺负责的！
258,粘不住老是掉
259,键盘位置不对瑕疵多
260,黑开不开了
261,预装的，还不激活
262,有黑点
263,不个月花坏了
264,用户体验般
265,蓝牙打不开，问客服，敷衍了事，不做答复。
266,激活不了
267,不
268,
269,壳错位，维修站说没法跟苹比，正常
270,很差，都还好吧。
271,硬盘使用此数，时间手货
272,怎么安装不上
273,辣鸡
274,触摸面板间歇抽风没反应。不值这个价格。
275,我地址是区，配送西区，怎么回事啊？没办法，只评价商品。
276,买来半个月不黑了，坏了，质量差。
277,还是在汪峰直播间买的，没买几天就降价
278,商品月日买的刚个月，坏了次了，国产商品质量就这么差吗？
279,没啥用，经常没反应，还是买个键盘更实在
280,刚买了周竟然闪，字抖的看不清楚
281,郁闷这么多年第次碰这种劣质商品
282,键盘掉了，，，，还偶死
283,买了个月不开，自体会
284,不是免费的，根用不了，客服也解决不了
285,黑，已经坏了，需要维修
286,用不周，触摸板就不灵敏。
287,商品没问题，分给。买就降价多，还不给价格保护，不多说啥
288,件打不开，也卸载不了，什么破
289,孩子用了几次就蓝了！耽误事！
290,源键是歪的，刚买天的时候开黑了
291,收损坏，找不客服络我是海买家
292,不敢恭维，换货后还是差强人意，没有达期望值！！！！！
293,方向键是坏的了就是坏的手两天翻车
294,你们的漏吗，我这个摸着麻手
295,像旧的刚买就降价
296,不值这个价，卡的飞起，而且经常蓝
297,家不要买，触摸板坏的，卡顿，用不了
298,受不了了，莫名妙的各种没反应各种卡
299,不错，但是刚买了就降价，然后客服超级差。
300,刚买手就降价吐血人家还有包我还得自己配。还多花钱吐血了
301,买回来星期，黑不知道多少次，你品你细细的品。
302,买了就降价，还不给价格保护，应该买的
303,第天就跟我玩死？
304,产品言难尽，刚买半个月就坏了，换了零件，呵呵呵
305,刚手第天，就黑死。呵呵。
306,买来打开就有亮点！这什么情况！是把别人退掉的发给我了吗！
307,昨天的，体验感不咋地就算了，键盘还凹下去
308,收后开就出现闪，无法正常使用，因申请退货。
309,刚买来天就降价，还不给保价，元，天猫天天都是元，
310,刚用就卡了都做什么网络连接也有问题
311,直接没收货，马上都要半个月过去了，反馈了两次仍然没有结。
312,就开了个，走了个向导，当暖宝宝用了
313,买了个月两次蓝，卡顿，体验差
314,你们是在卖还是干嘛？连个平面都没有
315,无售后，慎买！
316,启动不了，着急使用，好无奈！
317,才买两个月，频繁出现黑，开不了的现象
318,用了两天，打开个网页竟然卡死了
319,子刚打开就发现了质量问题，雪花点频闪！
320,鼠标不跟起送，送了就个鼠标，鼠标垫都没有
321,刚买手不周，就连续两次降价，逗人玩呢
322,用了十几天都还好，就是慢慢开始卡顿了
323,啥都不带，还马上贵了
324,还没用天，就连不上了！！申请换货还不按时！！
325,用了半了月，用于办公，动不动卡死，物流还可以
326,盖好之后，两边缝隙边边，品控不
327,两个给我冒充，厉害
328,不知道怎么说了，第天就蓝，直接打不开
329,无线网连接不稳定，经常掉线，家中网络无问题。
330,购物第天就出款，发票问题问了次没有开具，客服应付了事。
331,触摸面有缝隙，面没有缝隙
332,连个鼠标都没有？我都不知道降成的怎么管？
333,不说什么了，昨天秒杀，然后今天就了，因秒杀还不补差价，这算什么啊
334,服了，几天就出问题。。。。
335,买来刚手，我就经历了这个，这西用吗？
336,开黑，试了拔了所有接口长按源也没用。
337,客服十分不专业啥都不知道听不懂人话是的也就那样吧
338,个月都不，睡眠唤醒不了黑。
339,搞便宜点，你就给我搞个都开不了的过来吗
340,啥也不送，鼠标啥的还要自己买，连个手提包都不送。
341,刚买来，死好几次了，明天申请退货
342,买的，结保修日期从月底开始，，，嗯，，这是个问题
343,刚买上就卡！！！！般，感觉配不上那个价格！！！
344,刚买了，就降价了才天，客服说不价保
345,搞不懂
346,刚用了几次，左右按键就按不动了问客服让去修，再问就没了，
347,拿来当膜用了
348,个月还没就出现池充不上的问题我都崩溃了
349,换手第，堆坏点，我都懒得数了！！！！
350,价保在哪里？块不是钱？
351,花，有卡顿，售后你就迟迟没人管。
352,有坏点有坏点有坏点。
353,踏马的的产品连个接口都没还几把要买转
354,用了不个礼包就死，要换货个月还没解决问题
355,买回来个星期都没有就连不上网断断续续的掉网
356,刚买的才个星期看着视频就成这样了
357,辣鸡
358,池%充不进去
359,才用没几次，打开浏览转半天，关都关不了
360,有黑点
361,极差
362,下载序，激活，然后点反应都没有
363,发厉害，充慢
364,棒棒棒，厉害
365,买就降价不厚道
366,说好天无由退货结不满意不让退多次与客服协商没有得满意的答复
367,买贵了
368,用了几天就黑卡顿点击任务栏没反应心态爆炸
369,售后服务态可以，但是产品质量，体验感真的差，
370,鼠标也没个，
371,经常蓝
372,慢不好跟照片严重不符厚
373,用着还不错，买了不天降了多块，心里哇凉哇凉的，还不申请价格保护，星是给的。
374,键盘是坏的
375,比较鸡肋，经常失，重装驱动才好点
376,时死次
377,有红点算我倒霉
378,给妹妹买的西是还好，但是刚刚买就降价，是不是有点过分了？
379,不好
380,不好，两个月就黑开不了，充也充不进去了
381,刚买就是坏的就离谱
382,闹心啊！开盖有时亮下就不亮了！时好时坏！
383,累了～
384,我们家网没问题，看个视频，卡掉了回，不至于吧
385,总是会无缘无故突然说遇问题，要重启动，不懂什么
386,是我哪里没有设置好吗？还是期望过高？
387,天，没买几天降了？？？？？
388,没办法使用，件无法安装，根打不开。
389,用了没多长时间，还光办公，卡的不
390,满，只看视剧，个多时就没了
391,这个看起来不错，但是用起来实在太让人不爽了
392,慢还要自己卸载重装不推荐购买
393,弄了两时，不激活
394,刚买回来第天就开不了源显示灯也不亮，系客服几天了也没回复。
395,蓝数次，极差
396,使用天，刚装了件就连重启都不可以了
397,不咋样，时不时的断网，网上查是通病。断网
398,怎么回事，才买不个月，这就是自营么差
399,服务态也不好，买回来几天，文档啥的就不用，真的是烦死人，要买的还是换别家吧
400,千多块的，不送鼠标键盘我忍，连个包都没有，呵呵了
401,买了没多久，也没用几次坏了两次了，现在又打不开了，好烦啊
402,白，有和我类似的吗？求解。。。
403,超级差！！！直闪！刚买了周，真棒！
404,品控真的不，合上以后对不齐
405,不是触的我换！
406,用了不久就蓝死找客服也不搭人我服了
407,买个连手提包都没有，售后服务也差，说话半天不回！
408,问了问题解决不了，客服把问题甩个链接就事了。
409,刚买天，就黑了，搞几次了，急死了，点反应也没有
410,买没多久就降价，保价服务还得自己在七天内申请，下次不会在买西
411,死，死
412,刚买了第八天，打开看降价元，吧，刚过保价期就降价，也不是回两回了
413,触控板天开两次坏了让去维修服
414,没法用，闪。直系客服也不。
415,买了不个月降价，而且喇叭里居然会掉漆。
416,买回来，硬盘自身就有问题，现在厂家说只修不换货。自身问题导致的既然不换货。买时注意
417,不个月就无法开，黑，不知道啥情况？求助客服
418,买来的刚打开就发现按是按是键位错乱，
419,触摸版不平有高低质量不好都是套路伙伴们千万别上当了
420,品控是越来越差了。买了开不了，直灭直黑，我激活了又没法退只换了
421,花多次，蓝次。
422,服气
423,才用了几天捷截键就不起作用了，客服永远不人。
424,还没怎么使用，就黑
425,我买的时候只有七天价保，过了价保就降价了，现在还有个月的价保难受
426,又贵又差
427,发量，而且不知何故风扇直狂转，噪音巨！
428,换了，还是两天出现了连不上网的问题
429,几天里蓝好多次
430,有死现象
431,啥都不送就个裸，最起码应该也要送点吧买回来刚刚开只英文不可切换中文
432,刚拆开就是这样，显示坏的，我有这么凑巧吗？
433,刚手的顶配，子上下盖对不齐
434,买贵了没价保
435,刚买回来就出问题了，退货申请成功后，也直没来拿货，千万别买啊！
436,刚开就这样？？？
437,用了两天就花，只换，不知道换的是不是好的，好在还
438,极差
439,都对不齐，用了两天死次，客服也不人
440,还好，以后尽量不买的了。确实有点讨厌作。
441,触摸版摁向下活动，是质量问题么？
442,很不错，就是售后服务有点令人失望吧
443,买了个，发了个纸尿裤盒，上面胶带也被撕了，好牛批的啊，这服务质量也太好了
444,边缘两边不等宽还可以声音
445,在线等怎么办
446,刚买触控板不用，呵呵，服了，第次在就买个这样的，下次不来了。
447,没法激活许可证不用？弄了半天了
448,根没胶。不过还好没有这张膜手势仍旧用
449,很好，不过突然刚买就便宜心里确实有点不好受。
450,不好用，买错了，同样的配置，别人才，别上当了！！！
451,竟然不退货？？
452,用了不条死了，而且花了，重启不了，，，，，，，，
453,月买刚天就降价了，忘申请价格保护，月就来不及了生气！
454,底座不平，任务栏老是卡死了动不了要买的朋友多多考虑下吧
455,我服了，刚用没几天触控就偶失灵，我以没问题，又过了几天更频繁了！
456,心念念了那么久，好不容易等，结发现合盖的时候缝隙对不齐！！
457,没反应
458,六月买的，今天坏的，全无法开。根据后续结追评
459,有瑕疵空格键左端几乎不用体验极差
460,这个底不平，打开放桌子上，右侧的角是翘起来的
461,老是死，动不动就飙升
462,我在买第次遇品控差的情况，已经申请换货，天了还没，这
463,什么破西，便宜没有好货，鼠标。包什么也没有，这些西还是实体店买好
464,给孩买的，当时没注意，销售发票也没有，现在才个月，全充不进去了
465,包装简陋就不说了。风扇声音要多有多，客服连问题都回答不清楚，吐了。
466,做个表格死。的家寻思吧。不是次两次了，
467,先说说产品的箱被挤压变成这样（见下）。派送员居然还继续送货，而且还不让当面拆箱验货。百思不得解
468,刚买的，里头更改适配出问题，就得重装系统，影响体验
469,翻车了。从闪直接黑。里的文件还没有抢救出来。
470,买个，换了两次，第，键盘有问题，第，充有问题，心累。
471,买这是了方便的，不是让我费心费事这问题那问题的，周多蓝牙自己就没了。就这样吧，服了。
472,美帝良心
473,使用不灵敏，来是着方便买它的，但是真的竟做无用功了
474,品控不好，换了之后还是品控差，建议我退货，然后就退货了
475,池两时不，员打随意扔，上有个痕迹像掉了点油漆
476,买回来第天黑，白，卡死˙˙
477,油漆都掉了
478,学生党，送过来磕碰两掉漆变，跟我说难免发生，干脆别要泡沫了直接怼过来
479,这条竖线是怎么回事？
480,手第天
481,两星期不，开蓝两次，都没怎么用它，郁闷，这么脆弱的吗
482,买了源和键盘膜，给我赠送了纸尿裤？这是几个意思？
483,开后无法使用，络客服没有解决，都不知道应该如何说了
484,用了星期，触控面板基不好使了。正在系售后中。
485,日降价服了
486,有质量问题
487,膜贴触控板上触控板全没法用，退也退不掉，就当买个教训了。
488,昨天才买今天每次开后不分钟就会卡死直动不了重启也没有用
489,次的，刚用几天突然又要@，系统也没更过，但输入@码后又提示已经使用过了，问售后也都是不清楚的，
490,用了个月，蓝几次，现在又突然死就打不开了。
491,拿手还没开就申请退货了。合盖后两个面对不齐。
492,这就是你们自营了西，买回来第天无法开，充没反应，还不让退货
493,什么装不了
494,不错，但开始买的时候有说赠送，手过后告诉要自己卖，气死，千就买
495,可以不般漂亮辣鸡
496,贴上后双指手势操作不准确了，鼠标异常漂移，不推荐
497,这是刚打开后键盘就是这样子，按着半天没反应
498,刚买就降！
499,刚买来就死
500,，怀疑不是原包装，左边封口应该也有圆型黑胶布。，怀疑是返修，上有凹痕。
501,用了个月都没有用已经是第次这样蓝了，然后还突然死了好几回
502,明显有个漆点，不知道是不是故意的，应该不会看不出来，懒得换货了
503,刚买就掉价，而且这个啥西呀，系统自动签收，客服都是人，
504,开使用当天就死
505,刚买第天降价百块激活了我还没办法退真的亏
506,这确实好，每天玩都得崩溃个两次。确实棒！
507,安装操作详情说支持买了回来安装好驱动也激活了，发现不匹配才跟我说不支持！辣鸡
508,开箱就是白，就是这品控？出厂不检查吗！！
509,风扇声音巨般开什么序温
510,激活后用了天，第天就莫名奇妙不用了，不打开计算和数字键盘
511,不好用了半时烫手卡的要死才买了没几天生气
512,键盘不稳定不平边倒激活也不会卡谨慎买比较好
513,上盖有划痕，从很侧面看有明显的痕迹，不知道是不是别人退了的，之前员说这个是退货又重发出的，不清楚这个是怎么造成的？
514,没买多久，不是卡死就是开半天不显示，什么要花千多还有这么多问题？
515,第次换货，还是有毛病，次次问题比次，也就这样吧。
516,部有磨损，着急用没有时间换了，有点生气。
517,没有说明书，不知道怎么安装！按商家提供的网址下载了驱动但没什么用！还是安装不了！
518,无缘无故闪，不知道什么情况，有时间还有噪点会好会坏的第次买，搞的我好怕怕
519,辣鸡不辣鸡岔气厚的不不咋地
520,慢般不怎么好般般无
521,般还般没上好看
522,第次在有这么差的体验感，花千多买个裸，也怪自己没有看清楚，唯值得打星的就是哥的服务，只给好评！
523,键位不准确，只有个启动应用用。没，客服叫去售后点。。。。
524,主要是池不用起来就个时没和摄像头不清楚清晰，别的暂时还没发觉
525,西是可以就是预付费没有任何优，还和现在直接买的个价格
526,这坏点？买慎重考虑
527,买了个月触摸板出现了问题，现在不给退换货。希望家购买需要谨慎
528,和按键都有问题，流声坐姿也听！翻车了
529,用了天后发现有坏点，红蓝均显示，黑、白没有
530,开来玩十分钟温达多开个半天不出来出来就个
531,没有使用说明书，更没使用个简介，就简单说几个字的废话，怎么知道是什么西？
532,锐龙刚出跑分高于，价比比这这款高多了，还便宜了千，该降价了！
533,卡，打开触摸板有时候失灵，放置时候不平衡
534,刚激活，听了下歌，就卡了阵，刷都不。
535,很差，不清晰。龟很烫烂
536,不要买真的不用了个月不现在玩游戏都进去直卡在页面
537,慢差差丑厚毫无
538,这么的，盘插口只有个，充池得有半，不建议买
539,量没有官网上写的耐用，保修日期什么是从月份开始，我十月份买的啊，？？？？送货也慢，
540,转轴有划痕，还有缺口固态不是星的，感觉略坑
541,键盘就有松动脱落的现象，刚刚使用还没在意，等重视的时候又过了包换期了，品控这么差的吗？
542,质感不错，就是买回来缺了块，客服说这是正常的，那我就无话可说了。星吧。
543,不好装系统，送货员也不给装，还得跑售后服务部，不是实体店买的，服务不好
544,堆配置不出来容易发卡顿不应该是此配置应用感受
545,上有个红的亮点。还不知道有没有什么毛病用两天试下如还有问题只退了
546,刚买来，数字键就是坏的，按下去无法弹起申请换货，看看后续的质量有没有问题
547,客服问不知半天不我我发誓再也不从这里买了问客服也没有回应总是说自己不知道不清楚无法查询啥的
548,般般，开关慢的批开了个时，键盘都开始发了
549,声卡有问题，辣鸡还我掏钱维修稍视频制作，然后就卡不
550,中午的，开就有块坏点了反正不怎么影响使用，就这样了
551,产品质量有问题，休眠后无法唤醒，只关重启，上官网查竟然建议关闭休眠功
552,比较差，降价，服务态差，不建议购买。反应比较慢差评。
553,购买的今天才月号，请问这个池使用量正常吗？开%的只使用时？
554,元的上的多元的海力士硬盘，开始有阴阳，无故自动关！
555,就个人插孔，不好插进去，插进去之后就拔不出接收了！
556,真是烂泥扶不上墙，着买个国货，中间就是坏点，建议家不要买，品控真的差
557,质量不好，刚买来就死，孩子急着用，又来不及退货，来千的，卖千，建议别买
558,买了不半个月就降价，而且合起来的时候上下盖两侧对齐不致，不居中，打话让找，没有回应
559,知道什么开不了了花了天，还是学生党，怎么办啊
560,问客服问题总是不正面回复，让我自己找这个，找那个，跟不帮解决问题，这个客服设置来有什么用？
561,没有象中的好！反应还没我用了年的。
562,慢般般很重，而且量使用和说明差距很
563,价比还是有的但是-出现断连现象手开点也连不上换了好几个手试过了
564,有掉漆，破损余的还没打开看，等用段时间了再来评价，只说网购需谨慎。。。
565,很抠门，连鼠标键盘都不送，还有背包，感觉比较实体店还贵，金属壳子有的漏，还好不伤人。
566,点用没有，。。。。
567,不个月啥也没干黑无法重启。另个朋友出现充问题。
568,首发买的，晚上收，竟然不使用手动狗头
569,很，还没用多久，慢慢来应该也不错，就是客服真的太烂了。半天不回信息
570,底部发黄，转轴不对称这做工没谁了，还没买个月就要拿去送修
571,产品包装包装还可以吧材质做工和介绍的也还差不多设计比较安装操作这个就比较恶心了，货之后激活码直是不存在或是已被使用，反应了周发脾气了才终于解决了，浪费我量时间使用感觉有点鸡肋，作用不是别明显不建议购买吧
572,安装时后白，早上打给售后晚上才。系统自带的没有，风扇无缘无故转
573,驱动装了打不开，用管员之后分辨率不对，最主要的数字输入根对不上
574,刚买不俩月，频繁出现黑，几次开不了，发爆炸！正在申请维修
575,有时候有卡顿，感觉不太好，主要是刚买个月就降价！！！价保七天，家慎重考虑吧
576,插上源是漏的，说什么金属材料，？不也全金属么，都没漏！
577,鼠标有时候没反应还买了天就搞活动，还没有补差价
578,中奖奇美，刚买两天开就黑了，开也慢有毒吧？再用两天看看
579,刚收货，前面有脏西，背面有划痕，系客服也没人回复，也没给结
580,才第天就黑，要爆炸了，还花了远重装系统
581,待时间超级短，也很慢，还不错，也还好
582,卡般差般般谁买谁
583,使用点都不适配，只有个别数字位置准的，按键全都错位的
584,开网激活就卡第天要用急的半晚上折腾
585,在激活时，只天试用，询问人工客服，客服啥也不懂，只复制粘贴堆文字，让我自己找技术客服
586,个月不，摄像头坏了，退换时间又过了只修天退货，天换货，家发现坏了，赶紧申请！！！
587,来自己全网搜的激活就够难了，结买来第天就白了，客服也没人搭，申请售后了。
588,虚假广告，看超级品才买的结没，刚激活开天就死次，千万别买，物流服务很好很
589,触摸板是靠前部分下陷严重主和底座安装的是歪斜的源键前面留有较空隙
590,固态硬盘不是官方宣传的星的，是忆的，现在中就有卡顿了，玩游戏还闪退，不知道啥
591,子般，冲使用有静，跑分没网上说的那么高，而且价钱变来变去，买了几天的子没有价保！！
592,慢太慢还还还还光标直转你们再看看吧
593,刚收第天就送返退货了卡顿，反复黑七八次，无故掉线，，你还有多少惊喜是我不知道的
594,第次中上方漏光个△部位第次右上方半位置面积漏光伤了伤了已退货再也不考虑。
595,预装无用件过多，导致内存占有率过高人脸识别技术尚不成熟，个别环境识别不出来很好看
596,买不个月就降价，还没有价保！！！而且买回来后还要不停的更换件，说是上的用不了
597,买的，概月号注册，今天就坏了，开不了，因已注册且过七天不退货
598,产品可以，就是这个售后，比如激活问题让人焦头烂额，教也没有，客服也不管用，服了，现在都还解决不了。这怎么愉的使用。
599,品控没法说，触摸板右键有异响面用手按也有异响。
600,用着就成了这个样子，半个时了，害的我买了那多配件，郁闷，不建议购买，强烈要求退货，赔偿我的损失
601,很黄，关了护眼模、夜间模也是，还调了冷调，还是很黄
602,感觉产品真的很般，买的时候写的保价刚手，第天就定金顶变相的降价块钱，物流可以很，配送员态也很好
603,我打开个还卡半天？挺的般般般般还无
604,每天开蓝遍，需要回复出厂（不知道不修复），今天网络出问题，美帝良心
605,今天货，白天好好的，晚上回家，充坏了，没磕没碰的，绝了
606,卡，打开都卡挺的多开几个表格风扇就响，发全面显示不错
607,用心还好，买降价就算了，关键改推给我看，这不是添堵吗？
608,感受俩字，后悔。买了天就出现黑，后面好了，今天又出现量低（昨天刚充满的）
609,用了不两个月，键盘我手，还以秋天了我身上有静，用家里万表测的确是带，现在堪忧啊
610,商品购买界面没有明确说明是还是。我需要的是结送过来是。我的不用，找售后又说不同型号不换货。退货吧，我这个是用券买的，退只退实付金额，优券不退，然后还要重买。这不是坑吗？
611,所谓的是免费的，实际是登都登不上，根就没有免费说，点击登录就出现空白的页面
612,才买个多月降价，还有个问题关闭时，每次打开都有黑迹印，怀疑黑框脱落！
613,的品控也就那么回事吧。显示和主板位置有明显的错位，对，你没有看错，合上盖子你会发现它是左右不对称的，是错位的。
614,差，就听个音乐都会发烫，不用量还会下降，，卡卡的，早知道就不买这款了实在高价低质量
615,评论的是物流，购买了准达还晚送了个时，耽误了事情，有白开了天酒店（身找个酒店住下就是了买这个办公，两点退房。按约定点之间会送达。结点才送来）
616,真不好用
617,触控板失灵，驱动也下了也更了，就是解决不了问题，糟心！般
618,收货两个月，多次蓝，我也是醉了。线上的产品质量真的比线下差。不是托，被气炸了。
619,今天刚用摄像头，才发现用不了，看不见自己，看见对方。孩上网课都上不了，真是气人。
620,不得不说，挺膈应人的，刚买开就有个不良，这么个亮点也装？申请换货也说不出个所以然，反正编码我下了，没换的只退货了后续看服务态再追评
