,0
173,系统 卡得 要死
174,买 半年 进 医院 问题 死
175,开 刚买 第天
176,买来 办公 做 天 卡 还 官方 店
177,发 厉害 充 比较慢
178,买个 半月 冲不上
179,我要 确保 收 换掉
180,回来 花 看不清楚
181,看 视频 突然 变糊 比较 卡顿 不太 推荐
182,真香 第用 第开 不换 退货
183,试 好久 评价 蓝 蓝 蓝
184,转圈 没 白
185,质量 不是太好 有点 漏
186,收货 降价 还 申请 价格 保护
187,按键 不灵 根 没有 客服 还系
188,刚买 直卡 感觉 好用
189,买 天 降价 意难平
190,价格 降 有点
191,灵敏 低 用户 体验 感差级
192,不个 月 黑
193,般 感觉 没有 象中
194,激活 后用 段时间 失 需要 激活
195,差差 差
196,还 没用 多久 卡顿
197,两个 月 开 充 没
198,摄像头 成 服
199,问题 系不上 人工 急人
200,买 两个 星期 知道 启动 起来
201,时 左侧 键盘 上方 发烫
202,都 说 号 买 号 降价 买 降 故意 玩弄 消费者
203,叠字 第次
204,第天 卡住 动 情况
205,买 家 看看 评论 没 件
206,刚买 降 买 说 降价 最后 两天 有意思
207,先给 美国 差评 目前 止 还 没 发现 问题
208,刚买 白 迷茫
209,买来 天 维修 天 还 没 修好 关键
210,不个 月 开
211,烦躁 触 面板 老是 没
212,所谓 赠送 安装 直接 显示 未经 授权
213,卡顿 比较 厚 满意
214,差 直响 声音
215,辣鸡 才刚 七天 降价 算准
216,回事 回来 没用 几次 每次 开先 蓝
217,买 降 两次 价格 次 降价 还 报价 两次 降价
218,鸡肋
219,月 黑 懂
220,刚刚 买 两天 开 蓝
221,拿手 周 卡死
222,刚买 降价
223,说
224,卡
225,买 明天 降价 还 进价 保
226,刚买 现在 降价 过分
227,次品 退货
228,买 降价
229,经常 黑卡 点不开
230,掉 漆
231,刚过 价保 降价 两百 降价 第名
232,突然 黑 关 不开
233,无法 激活 客服
234,刚买 白
235,价格 倒 便宜 现在 天都 已坏 申请 换货 中
236,做工 粗燥
237,买 两天 降
238,买 月 降 块钱
239,
240,刚买 没多久 玩 卡死 两次
241,买 后悔
242,漏
243,刚买 还 没乎 开都 开不开
244,键位 估计 下载 驱 没 号
245,别卡
246,建议 购买 买回来 天 黑 关不了
247,经常 黑 需要 强制 关
248,坏点
249,预期
250,少 配件
251,不好
252,老 重启
253,不个 月 故障
254,慢 突然 连关 都 没
255,不错 客服 差 店 活动 差
256,天
257,产品 真的 不多 说 无 语 客服 哥哥 挺 挺 负责
258,粘 不住 老是 掉
259,键盘 位置 瑕疵
260,黑开 不开
261,预装 还 激活
262,黑点
263,不个 月 花坏
264,用户 体验 般
265,蓝牙 打不开 问 客服 敷衍了事 做 答复
266,激活
267,
268,
269,壳 错位 维修站 说 没法 苹比 正常
270,很差 都 还好
271,硬盘 此数 时间 手货
272,安装 不上
273,辣鸡
274,触摸 面板 间歇 抽风 没 不值 价格
275,地址 区 配送 西区 怎么回事 没 办法 评价 商品
276,买来 半个 月 黑 坏 质量 差
277,汪峰 直播间 买 没买 几天 降价
278,商品 月 日 买 刚个 月 坏 次 国产商品 质量 差
279,没 经常 没 买个 键盘 实在
280,刚买 周 竟然 闪 字抖 看不清楚
281,郁闷 多年 第次 碰 这种 劣质 商品
282,键盘 掉 还 偶死
283,买 月 不开 体会
284,免费 根用 客服 解决不了
285,黑 坏 需要 维修
286,不周 触摸板 不灵敏
287,商品 没 问题 分给 买 降价 还 价格 保护 不多 说
288,件 打不开 卸载 破
289,孩子 几次 蓝 耽误 事
290,源键 歪 刚买天 开黑
291,收 损坏 找 客服 络 海 买家
292,不敢恭维 换货 差强人意 没有 达 期望值
293,方向键 坏 坏 手 两天 翻车
294,漏 摸 麻手
295,旧 买 降价
296,不值 价 卡 飞起 经常 蓝
297,家 买 触摸板 坏 卡顿
298,受不了 莫名 妙 没 卡
299,不错 刚买 降价 客服 超级 差
300,刚买手 降价 吐血 包 还 配 还 多花钱 吐血
301,买回来 星期 黑 知道 次 你品 细细的 品
302,买 降价 还 价格 保护 买
303,第天 玩死
304,产品 言难 刚买 半个 月 坏 换 零件
305,刚手 第天 黑 死
306,买来 打开 亮点 情况 退掉 发给
307,昨天 体验 感 键盘 还 凹下去
308,收后 开 闪 无法 正常 申请 退货
309,买来 天 降价 还 保价 元 天猫 天天 都 元
310,刚用 卡 都 做 网络连接 问题
311,直接 没收 货 马上 都 半个 月 过去 反馈 两次 没有 结
312,开了个 走 向导 当暖 宝宝
313,买 月 两次 蓝 卡顿 体验 差
314,卖 干嘛 平面 都 没有
315,无 售后 慎买
316,启动 着急 无奈
317,买 两个 月 频繁 黑 开 现象
318,两天 打开 网页 竟然 卡死
319,子刚 打开 发现 质量 问题 雪花 点频 闪
320,鼠标 送 送 鼠标 鼠标垫 都 没有
321,刚买手 不周 连续 两次 降价 逗人 玩
322,十几天 都 还好 慢慢 卡顿
323,都 不带 还 马上 贵
324,还 没用 天 连不上 申请 换货 还 按时
325,月 用于 办公 卡死 物流 还
326,盖 两边 缝隙 品控
327,两个 冒充 厉害
328,知道 说 第天 蓝 直接 打不开
329,无线网 连接 稳定 经常 掉线 家中 网络 无 问题
330,购物 第天 出款 发票 问题 问 次 没有 开具 客服 应付 事
331,触摸 面 缝隙 面 没有 缝隙
332,鼠标 都 没有 都 知道 降成
333,不说 昨天 秒杀 秒杀 还 不补 差价 这算
334,服 几天 问题
335,买来 刚手 经历 这西用
336,开黑 试 拔 所有 接口 长 按源 没用
337,客服 专业 都 知道 听不懂 人话
338,月 都 睡眠 唤醒 黑
339,搞 便宜 点 搞 都 开 过来
340,送 鼠标 还要 买 手提包 都 送
341,买来 死 几次 明天 申请 退货
342,买 结 保修 日期 月底 问题
343,刚买 卡 般 感觉 配不上 价格
344,刚买 降价 天 客服 说 价保
345,搞不懂
346,刚用 几次 按键 不动 问 客服 修 问 没
347,拿来 当膜
348,月 还 没 池充 问题 都 崩溃
349,换手 堆 坏点 都 懒得 数
350,价保 块 钱
351,花 有卡顿 售后 迟迟 没人管
352,坏点 坏点 坏点
353,踏马 产品 接口 都 没 还 几把 买 转
354,不个 礼包 死 换货 月 还 没 解决问题
355,买回来 星期 都 没有 上网 断断续续 掉 网
356,刚买 星期 看着 视频 成
357,辣鸡
358,池 充不 进去
359,没 几次 打开 浏览 转 半天 关都 关不了
360,黑点
361,极差
362,下载 序 激活 点 都 没有
363,发 厉害 充慢
364,棒棒 棒 厉害
365,买 降价 厚道
366,说好 天无由 退货 结不 满意 不让 退 客服 协商 没有 满意 答复
367,买贵
368,几天 黑卡顿 点击 任务栏 没 心态 爆炸
369,售后服务 态 产品质量 体验 感 真的 差
370,鼠标 没个
371,经常 蓝
372,慢 不好 照片 不符 厚
373,还 不错 买 天降 多块 哇凉 凉 还 申请 价格 保护 星是
374,键盘 坏
375,比较 鸡肋 经常 失 重装 驱动 好点
376,时死次
377,有红 点算 倒霉
378,妹妹 买 西是 还好 刚刚 买 降价 是不是 有点 过分
379,不好
380,不好 两个 月 黑开 充也充 进去
381,刚买 坏 离谱
382,闹心 开盖 有时 亮下 不亮 时好时坏
383,累
384,家网 没 问题 看个 视频 卡掉 回
385,无缘无故 突然 说遇 问题 重启动 懂
386,没有 设置 期望 过高
387,天 没买 几天 降
388,没 办法 件 无法 安装 根 打不开
389,没 多长时间 还光 办公 卡
390,满 看视剧 时 没
391,看起来 不错 起来 实在 太 不爽
392,慢 还要 卸载 重装 推荐 购买
393,弄 两时 激活
394,买回来 第天 开 源 显示 灯 不亮 系 客服 几天 没 回复
395,蓝 数次 极差
396,天 刚装 件 重启 都
397,咋样 时不时 断网 网上 查是 通病 断网
398,怎么回事 买 不个 月 自营 差
399,服务 态 不好 买回来 几天 文档 不用 真的 烦死人 买 换 别家
400,多块 不送 鼠标 键盘 我忍 连个 包 都 没有
401,买 没多久 没用 几次 坏 两次 现在 打不开 好烦
402,白 类似 求解
403,超级 差 直闪 刚买 周 真棒
404,品控 真的 合 不齐
405,触 换
406,蓝 死 找 客服 搭 我服
407,买个 手提包 都 没有 售后服务 差 说话 半天 不回
408,问 问题 解决不了 客服 问题 甩个 链接 事
409,刚买天 黑 搞 几次 急死了 点 没有
410,买 没多久 降价 保价 服务 还 七天 申请 下次 买西
411,死 死
412,刚买 第八天 打开 看 降价 元 刚过 保价 期 降价 回 两回
413,触控板 天开 两次 坏 维修 服
414,没法用 闪 直系 客服
415,买 不个 月 降价 喇叭 里 掉 漆
416,买回来 硬盘 问题 现在 厂家 说 修 换货 问题 导致 换货 买时 注意
417,不个 月 无法 开 黑 知道 情况 求助 客服
418,买来 打开 发现 键位 错乱
419,触摸 版 不平 高低 质量 不好 都 套路 伙伴 千万别 上当
420,品控 越来越 差 买 开 直灭 直黑 激活 没法 退 换
421,花 蓝次
422,服气
423,几天 捷截键 不起作用 客服 永远 不人
424,还 没 黑
425,买 天价 保 价保 降价 现在 月 价保 难受
426,贵 差
427,发量 不知 何故 风扇 直 狂转 噪音 巨
428,换 两天 上网 问题
429,几天 里 蓝
430,死 现象
431,都 送 裸 最起码 送点 买回来 刚刚 开只 英文 切换 中文
432,拆开 显示 坏
433,刚手 顶配 子 盖 不齐
434,买贵 没价保
435,买回来 问题 退货 申请 成功 直 没来 拿货 千万别 买
436,刚开
437,两天 花 只换 知道 换 是不是 还
438,极差
439,都 不齐 两天 死次 客服 不人
440,还好 不买 确实 有点 讨厌 作
441,触摸 版 摁 向下 活动 质量 问题
442,不错 售后服务 有点 令人 失望
443,买 发了 纸尿裤 盒 胶带 撕 牛批 服务质量 太好了
444,边缘 两边 宽 还 声音
445,在线
446,刚买 触控板 不用 服 第次 买个 下次 不来
447,没法 激活 许可证 不用 弄 半天
448,根没胶 还好 没有 张膜 手势
449,突然 刚买 便宜 确实 有点 不好受
450,不好 买错 配置 上当
451,竟然 退货
452,不条 死 花 重启
453,月 买 刚天 降价 忘 申请 价格 保护 月 来不及 生气
454,底座 不平 任务栏 老是 卡死 动 买 朋友 考虑
455,我服 刚用 没 几天 触控 偶 失灵 没 问题 几天 频繁
456,心 念念 久 好不容易 结 发现 合盖 缝隙 不齐
457,没
458,六月 买 坏 全 无法 开 后续 结追评
459,瑕疵 空格键 左端 不用 体验 极差
460,底 不平 开放 桌子 右侧 角 翘起来
461,老是 死 飙升
462,买 第次 遇品 控差 情况 申请 换货 天 还 没
463,破西 便宜 没有 好货 鼠标 包 没有 西 实体店 买好
464,孩买 没 注意 销售 发票 没有 现在 月 全充 进去
465,包装 简陋 说 风扇 声音 客服 问题 都 回答 清楚 吐
466,做个 表格 死 家 寻思 次 两次
467,先说 说 产品 箱 挤压 见 派送 员 还 继续 送货 还 不让 当面 拆箱 验货 百思 解
468,刚买 里头 更改 适配 问题 重装系统 影响 体验
469,翻车 闪 直接 黑 里 文件 还 没有 抢救出来
470,买个 换 两次 键盘 问题 充有 问题 心累
471,买 方便 费心 费事 问题 问题 周多 蓝牙 没 服
472,美帝 良心
473,不灵敏 方便 买 真的 竟 做 无用功
474,品控 不好 换 品控 差 建议 退货 退货
475,池两时 员 随意 扔 痕迹 掉 点 油漆
476,买回来 天黑 白 卡死 ˙ ˙
477,油漆 都 掉
478,学生 党 送过来 磕碰 两掉 漆变 说 难免 发生 干脆 别要 泡沫 直接 怼 过来
479,条 竖线 怎么回事
480,手 第天
481,两 星期 开蓝 两次 都 没 郁闷 脆弱
482,买 源 键盘 膜 赠送 纸尿裤 这是 几个 意思
483,开后 无法 络 客服 没有 解决 都 知道 说
484,星期 触控 面板 基 不好 正在 系 售后 中
485,日 降价 服
486,质量 问题
487,膜 贴 触控板 触控板 全 没法用 退 退 掉 当买个 教训
488,昨天 买 每次 开后 分钟 卡死 直动 重启 没有
489,次 刚用 几天 突然 系统 没 输入 码后 提示 问 售后 都 清楚
490,月 蓝 几次 现在 突然 死 打不开
491,拿手 还 没开 申请 退货 合盖 两个 面对 不齐
492,自营 西 买回来 第天 无法 开 充没 还 不让 退货
493,装
494,不错 买 说 赠送 手 过后 告诉 卖 气死 买
495,不般 漂亮 辣鸡
496,贴 双指 手势 操作 准确 鼠标 异常 漂移 推荐
497,打开 键盘 样子 按着 半天 没
498,刚买 降
499,买来 死
500,怀疑 原 包装 左边 封口 圆型 黑 胶布 怀疑 返修 凹痕
501,月 都 没有 第次 蓝 还 突然 死 好几回
502,明显 有个 漆点 知道 是不是 故意 看不出来 懒得 换货
503,刚买 掉价 西 系统 自动 签收 客服 都
504,开 当天 死
505,刚买 第天 降价 百块 激活 还 没 办法 退 真的 亏
506,确实 每天 玩 都 崩溃 两次 确实 棒
507,安装操作 详情 说 支持 买 回来 安装 驱动 激活 发现 匹配 说 支持 辣鸡
508,开箱 白 这品 控 出厂 检查
509,风扇 声音 巨般 开 序温
510,激活 后用 天 第天 莫名 奇妙 不用 打开 计算 数字键盘
511,不好 半时 烫手 卡 要死 买 没 几天 生气
512,键盘 稳定 不平 倒 激活 卡 谨慎 买 比较
513,上盖 划痕 侧面 看 明显 痕迹 知道 是不是 退 员 说 退货 重 发出 清楚 造成
514,没买 多久 卡死 开 半天 显示 要花 千多 问题
515,次 换货 毛病 次次 问题 比次
516,部有 磨损 着急 没有 时间 换 有点 生气
517,没有 说明书 知道 安装 商家 提供 网址 下载 驱动 没什么 安装
518,无缘无故 闪 知道 情况 时间 噪点会 好会坏 第次 买 搞 怕怕
519,辣鸡 不辣鸡 岔气 厚
520,慢般 般般 无
521,般 还般 没上 好看
522,第次 差 体验 感 花 千多 买个 裸 没有 看清楚 唯 值得 打星 哥 服务 好评
523,键位 准确 启动 没 客服 售后 点
524,池 不用 起来 时 没 摄像头 清楚 清晰 暂时 还 没 发觉
525,西是 预付费 没有 优 还 现在 直接 买 价格
526,坏点 买 慎重考虑
527,买 月 触摸板 问题 现在 退换货 希望 家 购买 需要 谨慎
528,按键 都 问题 流声 坐姿 听 翻车
529,天后 发现 坏点 红蓝 显示 黑 白 没有
530,开来 玩 十分钟 温达 开个 半天
531,没有 说明书 没 简介 简单 说 几个 字 废话 知道 西
532,锐龙 刚出 跑 分 高于 价 比比 这款 高多 还 便宜 降价
533,卡 打开 触摸板 有时候 失灵 放置 平衡
534,激活 听 下歌 卡 阵 刷 都
535,很差 清晰 龟 烫 烂
536,买 真的 不用 月 现在 玩游戏 都 进去 直卡 页面
537,慢差 差 丑厚 毫无
538,盘 插口 充池 建议 买
539,量 没有 官 网上 写 耐用 保修 日期 是从 月份 十月份 买 送货 慢
540,转轴 划痕 缺口 固态 星 感觉 略 坑
541,键盘 松动 脱落 现象 刚刚 还 没 在意 重视 包换 期 品控 差
542,质感 不错 买回来 缺 块 客服 说 正常 无话可说 星
543,不好 装 系统 送货员 装 还 跑 售后服务 部 实体店 买 服务 不好
544,堆 配置 发卡 顿 配置 感受
545,红 亮点 还 知道 有没有 毛病 两天 试下 问题 只退
546,买来 数字键 坏 无法 弹起 申请 换货 看看 后续 质量 有没有 问题
547,客服 问 不知 半天 发誓 再也 买 问 客服 没有 回应 说 知道 清楚 无法 查询
548,般般 开关 慢 批 开了个 时 键盘 都 发了
549,声卡 问题 辣鸡 还 掏钱 维修 稍 视频 制作 卡
550,中午 开 块 坏点 反正 影响
551,产品质量 问题 休眠 无法 唤醒 只关 重启 上官 网查 竟然 建议 关闭 休眠 功
552,比较 差 降价 服务 态差 建议 购买 比较慢 差评
553,购买 月 号 请问 池 使用量 正常 开 时
554,元 多元 海力士 硬盘 阴阳 无故 自动 关
555,插孔 不好 插进去 插进去 拔不出 接收
556,真是 烂泥 扶不上 墙 买个 国货 坏点 建议 家 买 品控 真的 差
557,质量 不好 买来 死 孩子 急 来不及 退货 来千 卖千 建议 别买
558,买 半个 月 降价 合 起来 盖 两侧 对齐 不致 居中 打话 找 没有 回应
559,知道 开 花 天 学生 党
560,问 客服 问题 正面 回复 找 找 帮 解决问题 客服 设置
561,没有 象中 还 没 年
562,慢 般般 重 量 说明 差距
563,价比 断 现象 手开点 连不上 换 好几个 手试
564,掉 漆 破损 余 还 没 打开 看 段时间 评价 说 网购 需谨慎
565,抠门 鼠标 键盘 都 送 背包 感觉 比较 实体店 还贵 金属 壳子 漏 还好 伤人
566,点用 没有
567,不个 月 没 干 黑 无法 重启 另个 朋友 充 问题
568,首发 买 晚上 收 竟然 手动 狗头
569,还 没用 多久 慢慢来 不错 客服 真的 太烂 半天 不回 信息
570,底部 发黄 转轴 对称 做工 没 还 没买个 月 送修
571,产品包装 包装 还 材质 做工 介绍 还 设计 比较 安装操作 比较 恶心 货 激活码 直是 周 发脾气 终于 解决 浪费 我量 时间 感觉 有点 鸡肋 作用 明显 建议 购买
572,安装 时后 白 早上 售后 晚上 系统 自带 没有 风扇 无缘无故 转
573,驱动 装 打不开 管员 分辨率 最 数字 输入 根 对不上
574,刚买 俩 月 频繁 黑 几次 开 发 爆炸 正在 申请 维修
575,有时候 有卡顿 感觉 不太好 刚买个 月 降价 价保 七天 家 慎重考虑
576,插 上源 漏 说 金属材料 全金属 都 没漏
577,鼠标 有时候 没 还 买 天 搞 活动 还 没有 补 差价
578,中奖 奇美 刚买 两天 开 黑 开 慢 有毒 再用 两天 看看
579,收货 有脏西 背面 划痕 系 客服 没人 回复 没 结
580,第天 黑 爆炸 还花 远 重装系统
581,时间 超级 短 很慢 还 不错 还好
582,卡般 差 般般 买
583,点 都 适配 数字 位置 准 按键 错位
584,开 网 激活 卡 第天 急 晚上 折腾
585,激活 时 只天 试用 询问 人工 客服 客服 懂 复制粘贴 堆 文字 找 技术 客服
586,月 摄像头 坏 退换 时间 修天 退货 天 换货 家 发现 坏 赶紧 申请
587,全网 搜 激活 就够 难 结 买来 第天 白 客服 没人 搭 申请 售后
588,虚假 广告 看 超级 品才 买 结 没 激活 开天 死次 千万别 买 物流 服务
589,触摸板 前 部分 下陷 主和 底座 安装 歪斜 源键 留有 空隙
590,固态 硬盘 官方 宣传 星 是忆 现在 中 卡顿 玩游戏 还 闪退 知道
591,子般 有静 跑 分 没 网上 说 高 价钱 变来变去 买 几天 子 没有 价保
592,慢 太慢 还 还 还 还 光标 直 转 看看
593,刚收 第天 送 返 退货 卡顿 反复 黑 七八次 无故 掉线 惊喜 知道
594,第次 中 上方 漏光 △ 部位 次 右上方 位置 面积 漏光 伤 伤 退货 再也 考虑
595,预装 无用 件 导致 内存 占有率 过高 人脸识别 技术 尚 成熟 环境 识别 好看
596,买不个 月 降价 还 没有 价保 买回来 还要 不停 更换 件 说
597,买 概月 号 注册 坏 开 因已 注册 七天 退货
598,产品 售后 激活 问题 焦头烂额 教 没有 客服 服 现在 都 还 解决不了 愉
599,品控 没法 说 触摸板 右键 异响 面用 手 异响
600,成 样子 半个 时 害 买 配件 郁闷 建议 购买 强烈要求 退货 赔偿 损失
601,黄 关 护眼 模 夜间 模 还调 冷调 黄
602,感觉 产品 真的 很般 买 写 保价 刚手 第天 就定 金顶 变相 降价 块钱 物流 配送 员态
603,打开 还 卡 半天 挺 般般 般般 还 无
604,每天 开蓝遍 需要 回复 出厂 知道 修复 网络 问题 美帝 良心
605,货 白天 好好 晚上 回家 充坏 没 磕 没 碰 绝
606,卡 打开 都 卡 挺 多开 几个 表格 风扇 就响 发 显示 不错
607,用心 还好 买 降价 关键 改推 看 添堵
608,感受 俩 字 后悔 买 天 黑 量 低 昨天 充满
609,两个 月 键盘 我手 还 秋天 身上 有静 家里 万表测 的确 现在 堪忧
610,商品 购买 界面 没有 明确 说明 需要 结 送过来 不用 找 售后 说 型号 换货 退货 用券 买 退 退 实付 金额 优券 不退 还要 重买 坑
611,所谓 免费 登 都 登不上 根 没有 免费 说 点击 登录 空白 页面
612,买个 多月 降价 问题 关闭 时 每次 打开 都 黑迹 印 怀疑 黑框 脱落
613,品控 那么回事 显示 主板 位置 明显 错位 没有 看 错 合 盖子 发现 对称 错位
614,差 听个 音乐 都 发烫 用量 还会 下降 卡卡 早 知道 买 这款 实在 高价 低质量
615,评论 物流 购买 准达 还 晚 送 时 耽误 事情 有白开 天 酒店 身找 酒店 住 买 办公 两点 退房 约定 点 之间 送达 结点 送来
616,真 不好
617,触控板 失灵 驱动 解决不了 问题 糟心 般
618,收货 两个 月 蓝 醉 线上 产品质量 真的 线下 差 托 气炸
619,刚用 摄像头 发现 看不见 看见 孩 上网 课 都 真是 气
620,说 挺 膈 应人 刚买开 不良 亮点 装 申请 换货 说不出 所以然 反正 编码 我下 没换 退货 后续 看 服务 态再 追评
621,推荐 浪费时间 买 没 几天 液晶 黑 找 线下 客户服务 中心 说 液晶 问题 换 货用 两天 问题
622,建议 购买 品质 不过关 面 划伤 底部 凹 进去 缝隙 红 点 问题 时 退货 换货
623,第次 自营 买 几千元 物品 油漆 面 明显 瑕疵 申请 退货 暂时 不知 售后 不认帐 期待 结
624,回来 赠品 都 没有 空空 鼠标 贴膜 基础 配件 都 没有 都 配 买个 这点 西都 赠送
625,买来 配置 吃 饭 回来 开 申请 售后 这是 品控
626,超慢 有点 问题 不错 好品 控 不错 严丝合缝
627,买 刚货 发现 摄像头 买定 当心
628,真的 不说 买回来 几天 黑 辛辛苦苦 做 西 还 没 来得及 保存 黑
629,月 号 买 月 满月 不开 充灯亮 开
630,买 不个 月 质量 问题 维修 维修 知道 后期 问题
631,系统 显示 保修 时间 时间 订单 时 还要 早 几天 问题 激活
632,触控板 手感 不好 几天 过后 显示 设置 打开 申请 换货 刷 送 回来
633,天死 几次 还 说 直接 不动 每天 都 几次 醉 不个 月
634,续航 时 风扇 声 无语 整个 身 都 发 没有 多般 还
635,触摸板 卡顿 问 售后 工说 系统 接管 貌似 都 问题 售后
636,段时间 失 下载 件 直登 不管怎么 划 都 没
637,知道 鬼 还 风扇 声音 挺 几天 评价 昨天 看视剧 突然 黑 几秒钟 说 感觉 不太好 差评
638,不个 月 蜗牛 样 不太好 银 好看 有点 旧
639,续航 根达 标准 时长 有时 价格 变来变去 都 买 贵
640,买 充慢 用充 节模 边用 充量 还 下降 线下 维修 换 主板
641,收货 天 开不开 号 提交 售后 现在 还 返厂 检修 没 反馈 问题 产品 问题 换 耽误 没 说
642,不太 买来 第天卡 风扇 呼呼 转 天 售后
643,开 点亮 亮点 真的 中 头彩 品控
644,买 天 上网 设置 打不开 关不了 肠子 悔青
645,回来 摄像头 坏 影响 心情 天 急 没网购 遇见 这种 事
646,梳子 不心 砸 裂 质量 知道 说 自费 维修 号 买 号裂
647,次 网上 购买 贵 西 结 差 开时 都 启动 售后 不好 客服 态 差 直让 都 几个 时
648,坏 两次 都 没 修好 换 还 动态 加 出厂 配置
649,黑点 强迫症 受得了 刚买 没 几天 开 晕 买来 没 裸用 打开 还 迟缓
650,有没有 宝宝 我样 显示 无 弄 天 安装 知乎 方法 哭
